nrNodes nrCollisions nrTransmissions OverallEnergy nrReceived nrProcessed timeToFly
260 2024 174768 30426.4768389 172744 174768 230503612.416
270 2166 181285 31561.0629734 179119 181285 239098961.92
280 2400 187815 32697.912361 185414 187814 247711457.28
290 2483 194268 33821.3563269 191785 194268 256222396.416
300 2736 201307 35046.8207739 198570 201306 265506217.984
310 2822 208375 36277.334016 205553 208375 274828288.0
320 3053 214368 37320.6936453 211315 214368 282732527.616
330 3112 221131 38498.1074903 218019 221131 291652329.472
340 3509 228900 39850.6622976 225391 228900 301898956.8
350 3711 234247 40781.5556628 230535 234246 308951179.264
360 3580 241042 41964.5405921 237462 241042 317913186.304
370 3978 248224 43214.900822 244246 248224 327385612.288
380 4117 254699 44342.1749084 250581 254698 335925567.488
390 4629 262793 45751.3110405 258164 262793 346600841.216
400 4871 267702 46605.9501896 262831 267702 353075380.224
410 4941 274214 47739.6658422 269271 274212 361664135.168
420 5152 281731 49048.3483607 276578 281730 371578396.672
430 5492 288423 50213.4013624 282931 288423 380404555.776
440 5670 294568 51283.2236421 288898 294568 388509270.016
450 5874 302915 52736.4061594 297041 302915 399518228.48
460 6477 308001 53621.8603684 301524 308001 406226214.912
470 6376 315270 54887.3669837 308893 315269 415813386.24
480 6830 322434 56134.5934787 315603 322433 425262071.808
490 6989 328983 57274.7506975 321993 328982 433899626.496
500 7364 335141 58346.8362301 327777 335141 442021486.592
1 0 660 114.90361344 660 660 870481.92
10 0 6560 1142.07227904 6560 6560 8652062.72
20 0 13251 2306.95118438 13251 13251 17476902.912
30 38 20262 3527.54093261 20224 20262 26723794.944
40 46 27076 4713.83369318 27030 27076 35710861.312
50 76 33417 5817.77886413 33341 33417 44074082.304
60 84 40342 7023.39632333 40258 40342 53207547.904
70 210 46841 8154.84872294 46631 46841 61779156.992
80 179 53693 9347.75714611 53514 53693 70816342.016
90 238 60215 10483.2137626 59977 60215 79418286.08
100 355 67134 11687.7866435 66779 67134 88543838.208
110 368 73731 12836.3004887 73363 73731 97244700.672
120 541 80643 14039.6546949 80102 80643 106361020.416
130 427 87498 15233.0854072 87071 87498 115402162.176
140 584 93732 16318.4022651 93148 93732 123624259.584
150 571 100684 17528.7203267 100113 100684 132793335.808
160 789 107670 18744.9576653 106880 107669 142007255.04
170 862 114126 19868.9239204 113264 114126 150522150.912
180 844 120394 20960.1600553 119550 120394 158789091.328
190 1250 127724 22236.28655 126474 127724 168456716.288
200 1298 133921 23315.1618417 132623 133921 176630013.952
210 1223 140394 24442.0877353 139171 140394 185167331.328
220 1397 147098 25609.2298936 145701 147098 194009317.376
230 1524 154502 26898.2395208 152978 154502 203774541.824
240 1792 160732 27982.8599931 158940 160732 211991363.584
250 1807 167173 29104.2148024 165366 167173 220486475.776
260 2017 174613 30399.4918994 172595 174612 230299181.056
270 2213 180439 31413.7774326 178226 180439 237983162.368
280 2226 187477 32639.0677832 185251 187477 247265665.024
290 2328 194077 33788.1039176 191748 194076 255970484.224
300 2640 200431 34894.3123415 197791 200431 264350851.072
310 3031 207561 36135.6195594 204530 207561 273754693.632
320 2979 214375 37321.91232 211396 214375 282741760.0
330 3220 221203 38510.64243 217983 221203 291747291.136
340 3463 228856 39843.0020567 225393 228856 301840924.672
350 3742 234946 40903.2490353 231203 234945 309873098.752
360 3999 241215 41994.6592666 237215 241214 318141358.08
370 4086 247780 43137.6020275 243693 247779 326800015.36
380 4257 254923 44381.1724984 250666 254923 336221003.776
390 4630 261220 45477.4574285 256589 261219 344526192.64
